,title,artist,top genre,year,country,val,dur
311,Ferida Curada,Zé Neto & Cristiano,sertanejo universitario,2019,brazil,55,159
716,Filhall,B Praak,desi pop,2019,india,59,255
340,Fingindo Maturidade - Ao Vivo,Mano Walter,forro,2019,brazil,74,189
96,Fire,DJ Big Sky,Other,2019,africa,64,463
129,Fresa,TINI,latin pop,2019,argentina,86,166
597,Fuera De Mi Mente,Lérica,spanish pop,2019,spain,70,181
614,Futsal Shuffle 2020,Lil Uzi Vert,melodic rap,2019,usa,30,199
895,GANG (feat. Geolier),Samurai Jay,italian hip hop,2019,italy,58,162
308,Gaiola É o Troco,MC Du Black,funk carioca,2019,brazil,85,187
699,Gasolina (feat. Gambi),Hamza,belgian hip hop,2019,france,72,179
714,"Ghungroo (From ""War"")",Arijit Singh,desi pop,2019,india,86,303
887,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,italy,39,164
697,God Bless (feat. Damso),Hamza,belgian hip hop,2019,france,23,162
492,Golpe Con Golpe,Pastor Lopez,cumbia,2012,colombia,97,214
970,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,malasya,16,175
137,Goteo,Duki,argentine hip hop,2019,argentina,44,164
598,Goteo,Duki,argentine hip hop,2019,spain,44,164
907,Gurenge,LiSA,anime rock,2019,japan,31,239
914,HANABI,Mr.Children,j-pop,2008,japan,60,343
809,HIGHEST IN THE ROOM,Travis Scott,rap,2019,israel,6,176
998,Haa Tepok,MeerFly,malaysian hip hop,2019,malasya,68,211
935,Hakujitsu,King Gnu,j-pop,2019,japan,75,275
428,Hallelujah,Pentatonix,a cappella,2016,germany,37,269
770,Halu,Feby Putri,Other,2019,indonesia,10,266
796,Hanya Rindu,Andmesh,indonesian pop,2019,indonesia,20,252
999,Hanya Rindu,Andmesh,indonesian pop,2019,malasya,20,252
873,Happy Xmas (War Is Over),Céline Dion,canadian pop,1998,italy,16,255
16,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,world,40,214
60,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,africa,40,214
160,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,australia,40,214
215,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,belgium,40,214
357,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,canada,40,214
407,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,germany,40,214
609,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,usa,40,214
858,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,italy,40,214
903,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,japan,40,214
586,Hasta Que Salga el Sol,Ozuna,latin,2019,spain,60,188
748,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,2019,india,57,209
196,Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,1960,australia,48,176
644,Have Yourself A Merry Little Christmas,Judy Garland,adult standards,1944,usa,11,162
23,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,world,34,171
66,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,africa,34,171
167,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,australia,34,171
222,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,belgium,34,171
364,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,canada,34,171
413,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,germany,34,171
619,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,usa,34,171
707,Heartless,The Weeknd,canadian contemporary r&b,2019,india,20,200
943,Hikoutei,King Gnu,j-pop,2019,japan,49,262
307,Hit Contagiante,Felipe Original,brega funk,2019,brazil,96,137
247,Hoe Het Danst,Marco Borsato,dutch cabaret,2019,belgium,42,253
117,Hola - Remix,Dalex,latin,2019,argentina,34,250
269,Hola - Remix,Dalex,latin,2019,bolivia,34,250
466,Hola - Remix,Dalex,latin,2019,colombia,34,250
518,Hola - Remix,Dalex,latin,2019,chile,34,250
567,Hola - Remix,Dalex,latin,2019,spain,34,250
896,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,2019,italy,50,220
45,Holly Jolly Christmas,Michael Bublé,adult standards,2011,world,74,122
82,Holly Jolly Christmas,Michael Bublé,adult standards,2011,africa,74,122
184,Holly Jolly Christmas,Michael Bublé,adult standards,2011,australia,74,122
242,Holly Jolly Christmas,Michael Bublé,adult standards,2011,belgium,74,122
390,Holly Jolly Christmas,Michael Bublé,adult standards,2011,canada,74,122
535,Holly Jolly Christmas,Michael Bublé,adult standards,2011,chile,74,122
639,Holly Jolly Christmas,Michael Bublé,adult standards,2011,usa,74,122
665,Holly Jolly Christmas,Michael Bublé,adult standards,2011,france,74,122
872,Holly Jolly Christmas,Michael Bublé,adult standards,2011,italy,74,122
991,Holly Jolly Christmas,Michael Bublé,adult standards,2011,malasya,74,122
965,How Do You Sleep?,Sam Smith,pop,2019,malasya,35,202
199,How to Make Gravy,Paul Kelly,australian alternative rock,2019,australia,39,269
668,Hé oh,Gambi,pop urbaine,2019,france,54,178
764,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,indonesia,84,220
817,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,israel,84,220
771,I Love You 3000,Stephanie Poetri,indonesian pop,2019,indonesia,41,210
993,I Love You 3000,Stephanie Poetri,indonesian pop,2019,malasya,41,210
789,I Love You but I'm Letting Go,Pamungkas,indonesian indie,2018,indonesia,13,220
41,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,world,61,181
238,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,belgium,61,181
385,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,canada,61,181
632,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,usa,61,181
84,I'll Be Home for Christmas,Michael Bublé,adult standards,2011,africa,15,268
395,I'll Be Home for Christmas,Michael Bublé,adult standards,2011,canada,15,268
982,I.F.L.Y.,Bazzi,pop,2019,malasya,55,166
730,Ik Tera,Maninder Buttar,desi pop,2019,india,49,161
541,Imaginaste - Remix,Jhay Cortez,latin,2019,chile,60,247
