,title,artist,top genre,year,country,val
577,Feliz Navidad,José Feliciano,latin pop,2001,spain,96
629,Feliz Navidad,José Feliciano,latin pop,2001,usa,96
868,Feliz Navidad,José Feliciano,latin pop,2001,italy,96
311,Ferida Curada,Zé Neto & Cristiano,sertanejo universitario,2019,brazil,55
716,Filhall,B Praak,desi pop,2019,india,59
340,Fingindo Maturidade - Ao Vivo,Mano Walter,forro,2019,brazil,74
96,Fire,DJ Big Sky,Other,2019,africa,64
129,Fresa,TINI,latin pop,2019,argentina,86
597,Fuera De Mi Mente,Lérica,spanish pop,2019,spain,70
614,Futsal Shuffle 2020,Lil Uzi Vert,melodic rap,2019,usa,30
895,GANG (feat. Geolier),Samurai Jay,italian hip hop,2019,italy,58
308,Gaiola É o Troco,MC Du Black,funk carioca,2019,brazil,85
699,Gasolina (feat. Gambi),Hamza,belgian hip hop,2019,france,72
714,"Ghungroo (From ""War"")",Arijit Singh,desi pop,2019,india,86
887,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,italy,39
697,God Bless (feat. Damso),Hamza,belgian hip hop,2019,france,23
492,Golpe Con Golpe,Pastor Lopez,cumbia,2012,colombia,97
970,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,malasya,16
137,Goteo,Duki,argentine hip hop,2019,argentina,44
598,Goteo,Duki,argentine hip hop,2019,spain,44
907,Gurenge,LiSA,anime rock,2019,japan,31
914,HANABI,Mr.Children,j-pop,2008,japan,60
809,HIGHEST IN THE ROOM,Travis Scott,rap,2019,israel,6
998,Haa Tepok,MeerFly,malaysian hip hop,2019,malasya,68
935,Hakujitsu,King Gnu,j-pop,2019,japan,75
428,Hallelujah,Pentatonix,a cappella,2016,germany,37
770,Halu,Feby Putri,Other,2019,indonesia,10
796,Hanya Rindu,Andmesh,indonesian pop,2019,indonesia,20
999,Hanya Rindu,Andmesh,indonesian pop,2019,malasya,20
873,Happy Xmas (War Is Over),Céline Dion,canadian pop,1998,italy,16
16,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,world,40
60,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,africa,40
160,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,australia,40
215,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,belgium,40
357,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,canada,40
407,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,germany,40
609,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,usa,40
858,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,italy,40
903,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,japan,40
586,Hasta Que Salga el Sol,Ozuna,latin,2019,spain,60
748,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,2019,india,57
196,Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,1960,australia,48
644,Have Yourself A Merry Little Christmas,Judy Garland,adult standards,1944,usa,11
23,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,world,34
66,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,africa,34
167,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,australia,34
222,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,belgium,34
